preco,metragem,idade,itens_embutidos,imposto_anual
1560,192,1,5,1161
1449,171,1,3,1010
1375,183.7,4,5,1191
1270,188,8,6,930
1250,215,15,3,984
1235,189.4,14,5,1112
1170,192.8,18,8,600
995,150,15,4,743
900,140,16,2,731
960,157.3,17,6,768
1695,293.1,28,3,1142
1553,220,28,4,1035
1020,147.8,53,3,626
1020,171.3,30,4,600
850,119,41,1,600
875,117.3,6,4,456
805,125.8,7,4,821
759,99.7,4,4,461
729,100.7,19,6,513
710,108.3,22,4,504
975,150,7,3,700
939,142.8,40,2,701
2100,211.6,25,3,1209
580,105.1,15,2,426
1844,225,40,6,915
699,140,45,1,481
1160,172,5,4,867
1109,174,4,3,816
1129,170,6,4,725
1050,162,6,4,800
1045,163,6,4,750
1050,192,8,4,944
1020,160.6,5,4,811
1000,153.5,7,5,668
1030,154,6,2,826
975,173.9,13,3,880
940,130.5,5,3,647
920,141.5,7,4,866
945,158,9,3,810
874,123.6,3,4,707